Operational date,Time of Accident,KM && M,Position,Rural/Urban,Location,Nature of Accident Position,Nature of Accident,Vehicle Involved,Type of Accident,Causes,Road Feature,Road condition,Intersection Type And Control,Weather Condition,Vehicle Responsible,Help Provided by Ambulance/Patroling Vehicle,Classification of Accident,No of Affected Persons
22.05.2016,11:50 AM,1288.5,RHS,Rural,Ulavapadu,Overturning,  Mini Lorry Overturned to wards ROW,Lorry,Minor injury,Over speed,Two lanes,Straight road,,Fine,AP03TA  7999,P.V ,Minor,2
22.05.2016,11:50 AM,1288.5,RHS,Rural,Ulavapadu,Overturning,  Mini Lorry Overturned to wards ROW,Lorry,Minor injury,Over speed,Two lanes,Straight road,,Fine,AP03TA  7999,P.V ,Non injured ,0
22.05.2016,11:50 AM,1288.5,RHS,Rural,Ulavapadu,Overturning,  Mini Lorry Overturned to wards ROW,Lorry,Minor injury,Over speed,Two lanes,Straight road,,Fine,AP03TA  7999,P.V ,Animals affected,0
23.05.2016,9:30 AM,1255.5,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Bike hit Bike,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27BG 3533,P.V ,Fatal,0
23.05.2016,9:30 AM,1255.5,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Bike hit Bike,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27BG 3533,P.V ,Grevious,1
23.05.2016,9:30 AM,1255.5,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Bike hit Bike,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27BG 3533,P.V ,Minor,0
23.05.2016,9:30 AM,1255.5,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Bike hit Bike,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27BG 3533,P.V ,Non injured ,1
23.05.2016,9:30 AM,1255.5,RHS,Rural,Tangutur,Collision Brush/Side Wipe, Bike hit Bike,Bike,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP27BG 3533,P.V ,Animals affected,0
23.05.2016,7:30 PM,1225.4,RHS,Rural,Maddipadu,Collision Brush/Side Wipe, Car hit Lorry,Car,Grievious injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,AP7CS  9259,P.V ,Fatal,0
23.05.2016,7:30 PM,1225.4,RHS,Rural,Maddipadu,Collision Brush/Side Wipe, Car hit Lorry,Car,Grievious injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,AP7CS  9259,P.V ,Grevious,2
23.05.2016,7:30 PM,1225.4,RHS,Rural,Maddipadu,Collision Brush/Side Wipe, Car hit Lorry,Car,Grievious injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,AP7CS  9259,P.V ,Minor,0
23.05.2016,7:30 PM,1225.4,RHS,Rural,Maddipadu,Collision Brush/Side Wipe, Car hit Lorry,Car,Grievious injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,AP7CS  9259,P.V ,Non injured ,0
23.05.2016,7:30 PM,1225.4,RHS,Rural,Maddipadu,Collision Brush/Side Wipe, Car hit Lorry,Car,Grievious injury,Over speed,Three lanes or more without central divider(median),Straight road,T-Junction,Fine,AP7CS  9259,P.V ,Animals affected,0
24.05.2016,5:00 AM,1218.5,LHS,Rural,Medarametla,Rear End Collision, APSRTC Bus hit Lorry,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP29Z 3060,P.V ,Fatal,0
24.05.2016,5:00 AM,1218.5,LHS,Rural,Medarametla,Rear End Collision, APSRTC Bus hit Lorry,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP29Z 3060,P.V ,Grevious,0
24.05.2016,5:00 AM,1218.5,LHS,Rural,Medarametla,Rear End Collision, APSRTC Bus hit Lorry,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP29Z 3060,P.V ,Minor,4
24.05.2016,5:00 AM,1218.5,LHS,Rural,Medarametla,Rear End Collision, APSRTC Bus hit Lorry,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP29Z 3060,P.V ,Non injured ,21
24.05.2016,5:00 AM,1218.5,LHS,Rural,Medarametla,Rear End Collision, APSRTC Bus hit Lorry,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP29Z 3060,P.V ,Animals affected,0
24.05.2016,6:10 AM,1361.3,LHS,Rural,Kovuru,Rear End Collision, Lorry hit Container vehicle,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TU 0276,P.V ,Fatal,0
24.05.2016,6:10 AM,1361.3,LHS,Rural,Kovuru,Rear End Collision, Lorry hit Container vehicle,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TU 0276,P.V ,Grevious,1
24.05.2016,6:10 AM,1361.3,LHS,Rural,Kovuru,Rear End Collision, Lorry hit Container vehicle,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TU 0276,P.V ,Minor,1
24.05.2016,6:10 AM,1361.3,LHS,Rural,Kovuru,Rear End Collision, Lorry hit Container vehicle,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TU 0276,P.V ,Non injured ,2
24.05.2016,6:10 AM,1361.3,LHS,Rural,Kovuru,Rear End Collision, Lorry hit Container vehicle,Lorry,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP07TU 0276,P.V ,Animals affected,0
24.05.2016,10:20 AM,1355.4,LHS,Rural,Kodavaluru,Rear End Collision, Lorry hit Container vehicle,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TE 0138,P.V ,Fatal,1
24.05.2016,10:20 AM,1355.4,LHS,Rural,Kodavaluru,Rear End Collision, Lorry hit Container vehicle,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TE 0138,P.V ,Grevious,0
24.05.2016,10:20 AM,1355.4,LHS,Rural,Kodavaluru,Rear End Collision, Lorry hit Container vehicle,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TE 0138,P.V ,Minor,0
24.05.2016,10:20 AM,1355.4,LHS,Rural,Kodavaluru,Rear End Collision, Lorry hit Container vehicle,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TE 0138,P.V ,Non injured ,1
24.05.2016,10:20 AM,1355.4,LHS,Rural,Kodavaluru,Rear End Collision, Lorry hit Container vehicle,Lorry,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26TE 0138,P.V ,Animals affected,0
24.05.2016,12:50 PM,1329.6,RHS,Rural,Kavali,Head on collision, Container vehicle hit Car,Container,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP27TY 1516,P.V&AMB,Fatal,0
24.05.2016,12:50 PM,1329.6,RHS,Rural,Kavali,Head on collision, Container vehicle hit Car,Container,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP27TY 1516,P.V&AMB,Grevious,0
24.05.2016,12:50 PM,1329.6,RHS,Rural,Kavali,Head on collision, Container vehicle hit Car,Container,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP27TY 1516,P.V&AMB,Minor,2
24.05.2016,12:50 PM,1329.6,RHS,Rural,Kavali,Head on collision, Container vehicle hit Car,Container,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP27TY 1516,P.V&AMB,Non injured ,2
24.05.2016,12:50 PM,1329.6,RHS,Rural,Kavali,Head on collision, Container vehicle hit Car,Container,Minor injury,Druken,Four lanes or more with central divider,Straight road,,Fine,AP27TY 1516,P.V&AMB,Animals affected,0
25.05.2016,10:50 AM,1299.5,RHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,OR07Z    5993,P.V,Fatal,0
25.05.2016,10:50 AM,1299.5,RHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,OR07Z    5993,P.V,Grevious,0
25.05.2016,10:50 AM,1299.5,RHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,OR07Z    5993,P.V,Minor,1
25.05.2016,10:50 AM,1299.5,RHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,OR07Z    5993,P.V,Non injured ,1
25.05.2016,10:50 AM,1299.5,RHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,OR07Z    5993,P.V,Animals affected,0
25.05.2016,3:15 PM,1287.4,LHS,Rural,Ulavapadu,Collision Brush/Side Wipe, Car hit CC Barriers,Car,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31BV   5549,P.V&AMB,Fatal,0
25.05.2016,3:15 PM,1287.4,LHS,Rural,Ulavapadu,Collision Brush/Side Wipe, Car hit CC Barriers,Car,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31BV   5549,P.V&AMB,Grevious,0
25.05.2016,3:15 PM,1287.4,LHS,Rural,Ulavapadu,Collision Brush/Side Wipe, Car hit CC Barriers,Car,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31BV   5549,P.V&AMB,Minor,2
25.05.2016,3:15 PM,1287.4,LHS,Rural,Ulavapadu,Collision Brush/Side Wipe, Car hit CC Barriers,Car,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31BV   5549,P.V&AMB,Non injured ,2
25.05.2016,3:15 PM,1287.4,LHS,Rural,Ulavapadu,Collision Brush/Side Wipe, Car hit CC Barriers,Car,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31BV   5549,P.V&AMB,Animals affected,0
26.05.2016,3:00 AM,1338.5,LHS,Rural,K.Tippa ,Rear End Collision, Volvo Bus  hit  Lorry,Bus,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP16TE  777,P.V&AMB,Fatal,0
26.05.2016,3:00 AM,1338.5,LHS,Rural,K.Tippa ,Rear End Collision, Volvo Bus  hit  Lorry,Bus,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP16TE  777,P.V&AMB,Grevious,1
26.05.2016,3:00 AM,1338.5,LHS,Rural,K.Tippa ,Rear End Collision, Volvo Bus  hit  Lorry,Bus,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP16TE  777,P.V&AMB,Minor,5
26.05.2016,3:00 AM,1338.5,LHS,Rural,K.Tippa ,Rear End Collision, Volvo Bus  hit  Lorry,Bus,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP16TE  777,P.V&AMB,Non injured ,24
26.05.2016,3:00 AM,1338.5,LHS,Rural,K.Tippa ,Rear End Collision, Volvo Bus  hit  Lorry,Bus,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP16TE  777,P.V&AMB,Animals affected,0
26.05.2016,6:30 AM,1191.1,LHS,Rural,Martur,Collision Brush/Side Wipe, RTC Bus hit Pedestrian ,Bus,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26Z  0012,P.V,Fatal,1
26.05.2016,6:30 AM,1191.1,LHS,Rural,Martur,Collision Brush/Side Wipe, RTC Bus hit Pedestrian ,Bus,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26Z  0012,P.V,Grevious,0
26.05.2016,6:30 AM,1191.1,LHS,Rural,Martur,Collision Brush/Side Wipe, RTC Bus hit Pedestrian ,Bus,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26Z  0012,P.V,Minor,0
26.05.2016,6:30 AM,1191.1,LHS,Rural,Martur,Collision Brush/Side Wipe, RTC Bus hit Pedestrian ,Bus,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26Z  0012,P.V,Non injured ,0
26.05.2016,6:30 AM,1191.1,LHS,Rural,Martur,Collision Brush/Side Wipe, RTC Bus hit Pedestrian ,Bus,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP26Z  0012,P.V,Animals affected,0
26.05.2016,4:35 PM,1183.2,RHS,Rural,Chilakaluripeta,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP05TB 4103,P.V,Fatal,0
26.05.2016,4:35 PM,1183.2,RHS,Rural,Chilakaluripeta,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP05TB 4103,P.V,Grevious,0
26.05.2016,4:35 PM,1183.2,RHS,Rural,Chilakaluripeta,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP05TB 4103,P.V,Minor,1
26.05.2016,4:35 PM,1183.2,RHS,Rural,Chilakaluripeta,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP05TB 4103,P.V,Non injured ,0
26.05.2016,4:35 PM,1183.2,RHS,Rural,Chilakaluripeta,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP05TB 4103,P.V,Animals affected,0
28.05.2016,2:30 AM,1305.4,LHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP12U     9380 ,P.V,Fatal,0
28.05.2016,2:30 AM,1305.4,LHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP12U     9380 ,P.V,Grevious,0
28.05.2016,2:30 AM,1305.4,LHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP12U     9380 ,P.V,Minor,0
28.05.2016,2:30 AM,1305.4,LHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP12U     9380 ,P.V,Non injured ,1
28.05.2016,2:30 AM,1305.4,LHS,Rural,Gudluru,Overturning, Container vehicle Overturned ,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP12U     9380 ,P.V,Animals affected,0
28.05.2016,5:00 AM,1327,LHS,Rural,Kavali,Overturning, Lorry  Overturned ,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TF      1539,P.V,Fatal,0
28.05.2016,5:00 AM,1327,LHS,Rural,Kavali,Overturning, Lorry  Overturned ,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TF      1539,P.V,Grevious,0
28.05.2016,5:00 AM,1327,LHS,Rural,Kavali,Overturning, Lorry  Overturned ,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TF      1539,P.V,Minor,0
28.05.2016,5:00 AM,1327,LHS,Rural,Kavali,Overturning, Lorry  Overturned ,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TF      1539,P.V,Non injured ,2
28.05.2016,5:00 AM,1327,LHS,Rural,Kavali,Overturning, Lorry  Overturned ,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TF      1539,P.V,Animals affected,0
28.05.2016,8:15 AM,1305.4,LHS,Rural,Gudluru,Rear End Collision, Private Bus hit ROB Bridge wall,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP28TD 1001,P.V,Fatal,0
28.05.2016,8:15 AM,1305.4,LHS,Rural,Gudluru,Rear End Collision, Private Bus hit ROB Bridge wall,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP28TD 1001,P.V,Grevious,0
28.05.2016,8:15 AM,1305.4,LHS,Rural,Gudluru,Rear End Collision, Private Bus hit ROB Bridge wall,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP28TD 1001,P.V,Minor,1
28.05.2016,8:15 AM,1305.4,LHS,Rural,Gudluru,Rear End Collision, Private Bus hit ROB Bridge wall,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP28TD 1001,P.V,Non injured ,14
28.05.2016,8:15 AM,1305.4,LHS,Rural,Gudluru,Rear End Collision, Private Bus hit ROB Bridge wall,Bus,Minor injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP28TD 1001,P.V,Animals affected,0
28.05.2016,4:45 PM,1187.1,LHS,Rural,Martur,Rear End Collision, Car hit Bike,Car,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31DD 7997,P.V,Fatal,1
28.05.2016,4:45 PM,1187.1,LHS,Rural,Martur,Rear End Collision, Car hit Bike,Car,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31DD 7997,P.V,Grevious,0
28.05.2016,4:45 PM,1187.1,LHS,Rural,Martur,Rear End Collision, Car hit Bike,Car,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31DD 7997,P.V,Minor,0
28.05.2016,4:45 PM,1187.1,LHS,Rural,Martur,Rear End Collision, Car hit Bike,Car,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31DD 7997,P.V,Non injured ,4
28.05.2016,4:45 PM,1187.1,LHS,Rural,Martur,Rear End Collision, Car hit Bike,Car,Fatal,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP31DD 7997,P.V,Animals affected,0
28.05.2016,5:10 PM,1226,RHS,Rural,Maddipadu,Rear End Collision, Car hit Tractor,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AW 1999,AMB,Fatal,0
28.05.2016,5:10 PM,1226,RHS,Rural,Maddipadu,Rear End Collision, Car hit Tractor,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AW 1999,AMB,Grevious,2
28.05.2016,5:10 PM,1226,RHS,Rural,Maddipadu,Rear End Collision, Car hit Tractor,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AW 1999,AMB,Minor,0
28.05.2016,5:10 PM,1226,RHS,Rural,Maddipadu,Rear End Collision, Car hit Tractor,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AW 1999,AMB,Non injured ,0
28.05.2016,5:10 PM,1226,RHS,Rural,Maddipadu,Rear End Collision, Car hit Tractor,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Light rain,AP27AW 1999,AMB,Animals affected,0
29.05.2016,11:30 PM,1192.5,LHS,Rural,Martur,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TC 1366,P.V&AMB,Fatal,0
29.05.2016,11:30 PM,1192.5,LHS,Rural,Martur,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TC 1366,P.V&AMB,Grevious,0
29.05.2016,11:30 PM,1192.5,LHS,Rural,Martur,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TC 1366,P.V&AMB,Minor,1
29.05.2016,11:30 PM,1192.5,LHS,Rural,Martur,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TC 1366,P.V&AMB,Non injured ,1
29.05.2016,11:30 PM,1192.5,LHS,Rural,Martur,Rear End Collision, Mini Lorry hit Unknown Vehicle ,Lorry,Minor injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP16TC 1366,P.V&AMB,Animals affected,0
30.05.2016,4:30 AM,1302.5,RHS,Rural,Gudluru,Rear End Collision, Car hit Lorry ,Car,Fatal,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,CKO 7558,P.V,Fatal,1
30.05.2016,4:30 AM,1302.5,RHS,Rural,Gudluru,Rear End Collision, Car hit Lorry ,Car,Fatal,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,CKO 7558,P.V,Grevious,0
30.05.2016,4:30 AM,1302.5,RHS,Rural,Gudluru,Rear End Collision, Car hit Lorry ,Car,Fatal,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,CKO 7558,P.V,Minor,2
30.05.2016,4:30 AM,1302.5,RHS,Rural,Gudluru,Rear End Collision, Car hit Lorry ,Car,Fatal,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,CKO 7558,P.V,Non injured ,1
30.05.2016,4:30 AM,1302.5,RHS,Rural,Gudluru,Rear End Collision, Car hit Lorry ,Car,Fatal,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,CKO 7558,P.V,Animals affected,0
30.05.2016,1:20 PM,1252.2,LHS,Rural,Ongole,Collision Brush/Side Wipe, Car hit Scooty,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01AE 3839,PV,Fatal,0
30.05.2016,1:20 PM,1252.2,LHS,Rural,Ongole,Collision Brush/Side Wipe, Car hit Scooty,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01AE 3839,PV,Grevious,1
30.05.2016,1:20 PM,1252.2,LHS,Rural,Ongole,Collision Brush/Side Wipe, Car hit Scooty,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01AE 3839,PV,Minor,0
30.05.2016,1:20 PM,1252.2,LHS,Rural,Ongole,Collision Brush/Side Wipe, Car hit Scooty,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01AE 3839,PV,Non injured ,0
30.05.2016,1:20 PM,1252.2,LHS,Rural,Ongole,Collision Brush/Side Wipe, Car hit Scooty,Car,Grievious injury,Over speed,Four lanes or more with central divider,Straight road,,Fine,AP01AE 3839,PV,Animals affected,0
31.05.2016,4:20 AM,1349.4,RHS,Rural,Kodavaluru,Overturning, Container vehicle Overturned,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TU 1159,PV,Fatal,0
31.05.2016,4:20 AM,1349.4,RHS,Rural,Kodavaluru,Overturning, Container vehicle Overturned,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TU 1159,PV,Grevious,0
31.05.2016,4:20 AM,1349.4,RHS,Rural,Kodavaluru,Overturning, Container vehicle Overturned,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TU 1159,PV,Minor,0
31.05.2016,4:20 AM,1349.4,RHS,Rural,Kodavaluru,Overturning, Container vehicle Overturned,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TU 1159,PV,Non injured ,1
31.05.2016,4:20 AM,1349.4,RHS,Rural,Kodavaluru,Overturning, Container vehicle Overturned,Container,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP27TU 1159,PV,Animals affected,0
31.05.2016,5:40 AM,1209.7,RHS,Rural,Reningavaram,Rear End Collision, Lorry hit Lorry,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TT 5877,PV,Fatal,0
31.05.2016,5:40 AM,1209.7,RHS,Rural,Reningavaram,Rear End Collision, Lorry hit Lorry,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TT 5877,PV,Grevious,0
31.05.2016,5:40 AM,1209.7,RHS,Rural,Reningavaram,Rear End Collision, Lorry hit Lorry,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TT 5877,PV,Minor,0
31.05.2016,5:40 AM,1209.7,RHS,Rural,Reningavaram,Rear End Collision, Lorry hit Lorry,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TT 5877,PV,Non injured ,4
31.05.2016,5:40 AM,1209.7,RHS,Rural,Reningavaram,Rear End Collision, Lorry hit Lorry,Lorry,Non injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TT 5877,PV,Animals affected,0
01.06.2016,11:28 AM,1206.4,RHS,Rural,Reningavaram,Collision Brush/Side Wipe, Bike hit Lorry,Bike,Grievious injury,Fault of driver of motor vehicle/driver of other vehicle/cyclist/pedestrian/passenger,Four lanes or more with central divider,Straight road,,Fine,AP07TR 1388,PV&AMB,Fatal,0
